state,year,beauty_rev,beauty_est,beauty_ent,beauty_emp,beauty_wag,wellness_rev,wellness_est,wellness_ent,wellness_emp,wellness_wag
MS,2018,256.80194621221,4354,4354,4899,72.23044106234,144.10953370136,724,724,2987,33.64176769366
MS,2019,281.00841086169,4623,4623,4935,75.12332439224,146.70892741671,687,687,3243,38.04037316355
MS,2020,274.15960640356,4883,4883,7841,97.41697751289,105.37269983794,634,634,3066,26.66270663675
MS,2021,380.43309543121,5473,5473,8400,126.30467178379,135.34641419907,649,649,2867,37.17716987187
MS,2022,358.90180129153,5466,5466,5669,86.05363978624,188.95558916146,650,650,3018,38.28857208714
MS,2023,363.87679194082,5494,5494,5770,87.67726806935,179.79241526088,641,641,2894,36.6518634088
MS,2024,363.05540292991,5498,5498,5812,88.56598699975,180.92776440191,643,643,2876,36.60752118801
MT,2007,102.35895574176,1861,1846,2437,39.11774282633,93.4259197745,439,439,2408,23.79898612745
MT,2008,107.45795164488,1945,1918,2384,36.765119033,83.74713877959,396,396,2383,22.59785734565
MT,2009,108.70191617968,2162,2142,2587,39.50273912004,87.79049730812,400,400,2456,22.83969687155
MT,2010,113.34959063982,2326,2326,2783,38.07006389899,89.92737669253,391,391,2499,22.69715498094
MT,2011,107.96608689122,2304,2279,2809,39.85807512764,91.24440136433,387,387,2532,24.12399610214
MT,2012,110.42992752343,2394,2329,2751,38.33805736042,94.94034253202,398,398,2638,24.47765018003
MT,2013,122.28967665804,2462,2356,3142,40.21137635473,91.67509620434,392,392,2670,24.39984796369
MT,2014,119.68953947743,2483,2368,2963,40.15111285674,103.83595868049,430,430,2862,26.64961523905
MT,2015,122.19169080484,2411,2291,2926,41.43292664126,112.84151472186,454,454,3079,28.96384551424
MT,2016,130.60491248565,2391,2287,3034,43.96106425951,120.37773526613,464,464,3147,29.23089253253
MT,2017,132.50771012698,2424,2287,2999,44.37553369498,123.02786284381,497,497,3484,32.18853930031
MT,2018,144.58594083934,2585,2519,3056,46.09267949159,127.3348902384,486,486,3480,32.05084921934
MT,2019,148.22921797393,2599,2559,2983,45.91966091392,131.95147882253,503,503,3544,33.60872573327
MT,2020,118.82646568872,2688,2623,2926,36.45322839075,96.0325674333,476,476,3504,24.42178217338
MT,2021,160.45606263116,2887,2887,3204,49.82305588462,120.76042620925,496,496,3015,32.32089441749
MT,2022,180.50652147363,2975,2959,3396,52.1112882798,148.33949196541,513,513,3188,32.69452783853
MT,2023,182.74682522606,3039,3005,3441,52.90096353178,142.48070745674,517,517,3067,31.41909851034
MT,2024,182.07344631584,3091,3047,3453,52.55720355096,144.73633281329,530,530,3057,31.06781529778
NC,2007,1139.03852612476,17544,17007,24895,449.45984273623,806.71104416494,3061,2991,18669,248.92941776652
NC,2008,1175.21271948116,18912,17997,26716,471.8898075008,866.44487445018,3020,2947,21107,274.98169538796
NC,2009,1125.21672818328,20234,19676,26758,456.9470346155,856.23651411984,2913,2819,20613,257.26042128969
NC,2010,1165.6018442502,21643,20987,29058,473.61982754034,887.21857984605,2929,2839,20932,271.73218288048
NC,2011,1159.40545122602,22549,21882,29523,478.35530266146,900.47330176057994,2868,2820,21273,277.7132485513
NC,2012,1147.09917642594,22589,21869,27964,448.50248912901,916.37130405358,3016,2959,21272,272.50374129029
NC,2013,1228.67662253505,22804,22197,29943,447.77175762334,904.7596316502,3028,3009,21641,277.21026495971
NC,2014,1239.57164434346,23588,22934,30146,475.25197463615,986.82439814645,3143,3114,22995,298.87490838359
NC,2015,1302.27064526192,24072,23558,30147,502.33096560458,1051.97025148405,3228,3228,24364,323.48134146538
NC,2016,1377.60580567422,24185,23870,30539,527.00350123218,1127.82643573847,3333,3294,24692,327.74755011168
NC,2017,1498.01393425689,26098,25271,31457,552.17540885024,1185.98479611331,3492,3424,26534,348.81801006943
NC,2018,1612.46594557869,26887,26478,34129,607.1831835131,1201.10057546179,3614,3520,28889,376.47562658504
NC,2019,1690.79703777852,27565,26959,35134,641.14816803748,1264.73637429616,3826,3692,29806,401.93096726415
NC,2020,1333.74207702923,28198,27595,35120,517.59728448359,861.36054857808,3408,3291,29261,289.4790877588
NC,2021,1811.69631948284,30713,30223,37130,692.6656004028,1039.42576087915,3492,3364,19607,302.5280866809
NC,2022,2070.24876692526,31931,31600,39133,731.22411760975,1191.27728699232,3500,3273,21614,323.75550257446
NC,2023,2128.20439631839,32653,32448,40349,757.86355354252,1145.72072963359,3474,3265,21108,316.89335276888
NC,2024,2152.99967996773,33249,33246,41181,771.44966618044,1165.37824499894,3516,3311,21356,320.47737280509
ND,2007,144.66817497916,2714,2714,3579,60.71229485497,28.91861244577,205,205,1077,11.97436677347
ND,2008,170.039781185,2960,2960,3909,66.8323271841,49.43005067281,220,220,1330,14.88245097607
ND,2009,158.06837346726,2968,2968,3911,63.37090809456,56.87144402324,240,240,1527,16.05072736883
ND,2010,171.16292328707,3202,3202,4702,71.43682053851,58.43682777015,237,237,1543,16.56751133299
ND,2011,170.02444546389,3326,3326,4668,70.80142955115,59.66530866812,223,223,1713,18.57718339449
ND,2012,170.34273903062,3316,3316,4573,68.82457005521,68.21743233642,241,241,1843,19.6635338111
ND,2013,187.28998027595,3461,3461,4884,67.92837484892,63.37823521392,258,258,1839,19.44442930832
ND,2014,184.43638860483,3503,3503,4565,66.29663352598,69.5553882594,268,268,1935,20.56146634859
ND,2015,184.3531691163,3329,3329,4640,71.64422805545,72.49805512291,269,269,1944,21.22947679006
